eeg1,eeg2,eeg3,eeg4,focused,unfocused
-0.081190117,-4.178809166,-1.060340285,-0.053266134,1,0
-0.094181016,-4.178809166,-1.055265069,-0.079299815,1,0
-0.107420534,-4.178809166,-1.03184092,-0.088005207,1,0
-0.117335372,-4.178809166,-0.987204909,-0.068427809,1,0
-0.121479891,-4.178809166,-0.933623254,-0.027785396,1,0
-0.120787159,-4.178809166,-0.887400627,0.017554643,1,0
-0.118912056,-4.178809166,-0.855664313,0.05750829,1,0
-0.113853157,-4.178809166,-0.82942462,0.093735322,1,0
-0.09440691,-4.178809166,-0.790131152,0.108284242,1,0
-0.052360997,-4.178809166,-0.73173666,0.108284242,1,0
0.007247597,-4.178809166,-0.668801606,0.108284242,1,0
0.07151258,-4.178809166,-0.616016626,0.108284242,1,0
0.130091444,-4.178809166,-0.576133668,0.120362982,1,0
0.141709879,-4.178809166,-0.545334876,0.133980885,1,0
0.160938844,-4.178809166,-0.521611989,0.153678253,1,0
0.188535109,-4.178809166,-0.506424904,0.180968761,1,0
0.222477585,-4.178809166,-0.499893785,0.21295476,1,0
0.242674112,-4.178809166,-0.4995386,0.24379985,1,0
0.263271004,-4.178809166,-0.504478097,0.267800003,1,0
0.278336585,-4.178809166,-0.513803124,0.267800003,1,0
0.283510417,-4.178809166,-0.524270236,0.267800003,1,0
0.278113782,-4.178809166,-0.532139897,0.267800003,1,0
0.26127708,-4.178809166,-0.539150894,0.267800003,1,0
0.22826764,-4.178809166,-0.55458498,0.267800003,1,0
0.173089802,-4.178809166,-0.586521626,0.267800003,1,0
0.089418612,-4.178809166,-0.633433104,0.267800003,1,0
-0.030615302,-4.178809166,-0.686362505,0.267800003,1,0
-0.198485032,-4.178809166,-0.738356531,0.267800003,1,0
-0.217924848,-4.178809166,-0.78857857,0.139301091,1,0
-0.232957333,-4.178809166,-0.835400522,0.069093697,1,0
-0.245743394,-4.178809166,-0.871169567,0.024413755,1,0
-0.256841153,-4.178809166,-0.891424656,0.010322345,1,0
-0.294207692,-4.178809166,-0.902180016,0.024185389,1,0
-0.346367478,-4.178809166,-0.90926975,0.051182188,1,0
-0.404397577,-4.178809166,-0.91427654,0.075710408,1,0
-0.449502021,-4.178809166,-0.91601634,-0.028204124,1,0
-0.475791007,-4.178809166,-0.915588498,-0.001247102,1,0
-0.487453252,-4.178809166,-0.916569889,0.02751546,1,0
-0.491985202,-4.178809166,-0.92121911,0.02751546,1,0
-0.490627676,-4.178809166,-0.928044736,0.02751546,1,0
-0.481372327,-4.178809166,-0.933549702,0.02751546,1,0
-0.465941012,-4.178809166,-0.934092581,0.04608658,1,0
-0.450614899,-4.178809166,-0.927250862,0.072808847,1,0
-0.439771235,-4.178809166,-0.911685586,0.106147192,1,0
