eeg1,eeg2,eeg3,eeg4,focused,
0.32829469,#NAME?,-0.1665177,0.56468612,0,
-0.853072941,-4.424050808,-0.807082772,-0.104245715,1,
-0.0170797,-4.0341382,-0.7498735,0.09149241,0,
0.00172981,-3.3868291,-0.5850843,0.68307716,0,
-0.2412071,#NAME?,-0.3088257,0.67142528,0,
0.25704342,-4.0341382,-0.7362042,0.31354225,0,
0.14799242,#NAME?,-0.6843736,0.23059745,0,
-0.265336871,-3.476436615,-0.600081027,0.401759237,1,
0.06455629,#NAME?,-0.5997927,0.3308998,0,
0.08667419,#NAME?,-0.522045,0.18182616,0,
-0.2412071,#NAME?,-0.2822073,0.17588402,0,
-0.0124214,-5.7961431,-0.364185,0.06969717,0,
0.49191329,-5.0279942,-0.1900908,0.59716374,0,
-0.1128611,-3.7221296,0.43598628,0.90786672,0,
-0.319836468,-4.178809166,-0.736016989,0.061981909,1,
0.63608778,-5.3203087,-0.6286177,0.62949234,0,
0.36853725,-3.3868291,-0.2547816,0.342383,0,
-0.363565803,-4.588984966,-0.364569157,0.216703489,1,
-0.40686062,-4.424050808,-0.883051276,0.049165219,1,
0.00172981,-3.3868291,-0.7298629,0.68307716,0,
0.228717238,-3.476436615,-0.732353687,0.170972705,1,
0.2639513,-3.3868291,-0.747179,0.46452543,0,
-0.2340993,#NAME?,-0.5966355,0.04589834,0,
0.36290023,#NAME?,-0.3956914,0.33870903,0,
-0.391932666,-3.476436615,-0.700300932,0.004630182,1,
0.2248155,-4.9265018,-0.5046427,0.4934606,0,
0.13490856,#NAME?,-0.4548723,0.28964338,0,
-0.417609751,-3.476436615,-0.750527203,-0.005763755,1,
-0.428000599,-4.178809166,-0.89559418,0.043512218,1,
-0.355826318,-3.476436615,-0.651850045,0.221843362,1,
0.06398606,#NAME?,-0.6803898,0.40635577,0,
-0.509112537,-4.424050808,-0.517971337,0.069775112,1,
0.05002037,-3.3868291,-0.5634755,0.48908961,0,
-0.608038127,-4.178809166,-0.836389661,0.022440134,1,
-0.58386445,-4.424050808,-0.784822047,-0.038663507,1,
0.18068635,#NAME?,-0.3492422,0.8826704,0,
0.13367216,#NAME?,-0.8767693,0.24383262,0,
0.75417364,-5.3203087,-0.1505014,0.97510058,0,
-0.5038036,-3.7221296,-0.3576056,0.00986132,0,
-0.723608553,-4.178809166,-0.876477063,0.004985508,1,
-0.206293002,-3.476436615,-0.57094878,-0.086701117,1,
0.28736761,-3.3868291,-0.4772745,0.62978232,0,
-0.19089137,-4.424050808,-0.356030405,0.151681408,1,
-0.506835938,-3.476436615,-0.635216117,0.158911079,1,
0.0288724,-5.0988131,-0.6546195,0.08595287,0,
0.27186531,-4.5582461,-0.5052685,0.50552803,0,
0.003290926,-3.476436615,-0.736098945,0.368061811,1,
-0.41695857,-3.476436615,-0.713985384,0.051298901,1,
-0.615522385,-4.588984966,-0.683669448,0.015446025,1,
0.12989005,-5.0988131,-0.7470751,0.62646121,0,
-0.274856508,-4.424050808,-0.698331535,-0.076845393,1,
0.75417364,-5.3203087,-0.2126279,0.97510058,0,
0.62562585,-4.8700461,-0.5073876,1.07814145,0,
0.639850795,-3.476436615,-0.59481746,0.390532076,1,
-0.1173616,-3.3868291,-0.5490806,0.68307716,0,
-0.162638262,-4.424050808,-0.380116135,0.238809943,1,
-0.689204872,-4.424050808,-0.83053112,0.104585215,1,
-0.0080321,#NAME?,-0.4831156,-0.0739732,0,
-0.1034168,-3.7221296,-0.88356,0.39842004,0,
0.62562585,-4.8700461,-0.3604604,1.07814145,0,
-0.136942402,-3.476436615,-0.671527565,0.12289831,1,
-0.475776583,-3.476436615,-0.662083924,0.084259219,1,
-0.334195554,-3.476436615,-0.751725793,0.238045901,1,
-0.2007294,-5.7961431,-0.4859986,-0.159492,0,
-0.673668504,-3.476436615,-0.615482867,0.037585407,1,
-0.6913224,-5.7961431,-0.4161113,0.13423243,0,
-0.411139995,-3.476436615,-0.724711239,0.05464391,1,
0.04507686,-4.9265018,-0.5547575,0.28833291,0,
-0.072657563,-3.476436615,-0.536301792,0.240853444,1,
0.403472185,-3.476436615,-0.771440625,0.385136127,1,
-0.101954356,-3.476436615,-0.960956454,0.043712508,1,
0.22843947,#NAME?,-0.539017,0.5245083,0,
1.03417408,-5.1914659,-0.2020747,1.4961133,0,
0.72762674,-4.9265018,-0.0625889,1.1962688,0,
0.62562585,-4.8700461,-0.2869194,1.06247091,0,
0.71794337,#NAME?,-0.2722184,1.24084723,0,
-0.1501518,#NAME?,-0.4071757,0.56757689,0,
0.6878857,-3.7221296,-0.2223954,0.81968635,0,
-0.524997532,-3.476436615,-0.337470472,0.37267974,1,
-0.538874209,-3.476436615,-0.746634424,0.006026953,1,
-0.286824733,-3.476436615,-0.778651595,0.240672365,1,
0.087201,-5.1914659,0.10541177,1.31871331,0,
-0.363565803,-4.588984966,-0.48984769,0.216703489,1,
0.66954833,-4.9265018,0.22831953,0.1062249,0,
-0.042793471,-4.588984966,-0.632265091,0.505500555,1,
-0.318828553,-3.476436615,-0.836155236,0.123347938,1,
-0.389171988,-3.476436615,-0.672926724,0.069385536,1,
-0.36942488,-4.424050808,-0.569214582,-0.121238627,1,
-0.193181947,-3.476436615,-0.640094042,0.133740529,1,
-0.5471071,-3.476436615,-0.986983836,0.277445316,1,
-0.107371688,-4.424050808,-0.355690718,0.220443502,1,
-0.298140347,-3.476436615,-0.360587001,0.45220083,1,
0.02980022,-4.0341382,-0.7576125,0.15179889,0,
-0.2442674,-5.7961431,-0.6612742,-0.0497067,0,
0.22273347,-3.3868291,-0.524182,0.81006187,0,
-0.190991849,-3.476436615,-0.191340655,0.048327997,1,
-0.235667795,-4.424050808,-1.014683485,0.153400436,1,
0.28468207,-3.7221296,-0.6656584,0.62779647,0,
0.49191329,-5.0279942,-0.5673169,0.59716374,0,
-0.663565576,-3.476436615,-0.67616713,0.026517691,1,
-0.539076686,-4.178809166,-0.858706594,0.186278224,1,
0.29085404,-5.3203087,-0.5996505,0.80067182,0,
0.72518927,#NAME?,0.28349638,0.28964338,0,
-0.206522316,-3.476436615,-0.669123292,0.087874681,1,
0.07561497,#NAME?,-0.2510591,0.60621572,0,
-0.2312725,-5.0988131,-0.8401404,0.14135018,0,
0.62562585,-4.8700461,-0.4415409,0.88167143,0,
0.674064994,-4.178809166,0.017507222,0.058051091,1,
-0.65146172,-4.424050808,-0.673291326,0.367826253,1,
0.15984039,#NAME?,-0.4276552,0.41990823,0,
0.05374512,-3.7221296,-0.8313956,0.19655143,0,
0.087201,-5.1914659,0.32151443,1.30237806,0,
0.29437277,#NAME?,0.01430167,0.2003932,0,
-0.342307895,-4.424050808,-0.539684415,0.07723175,1,
-0.413899899,-4.424050808,-0.616947472,-0.080049545,1,
0.17365812,#NAME?,-0.6882125,0.24248599,0,
0.65411752,-5.0279942,-0.6195898,1.13269806,0,
0.39290968,-5.3203087,-0.5169858,0.90825987,0,
-0.604309678,-3.476436615,-0.621958852,0.118611239,1,
-0.531975985,-3.476436615,-0.673327923,0.078413785,1,
-0.132373899,-4.588984966,-0.386838824,0.219693139,1,
-0.1501518,#NAME?,-0.803581,0.56757689,0,
-0.298167557,-4.178809166,-0.84435755,0.178628042,1,
